nombre_cientifico_original,nombre_cientifico_normalizado,nombre_cientifico_gbif,usage_key,reino,filo,clase,orden,familia,genero,estado_taxonomico,confianza_match,categoria_iucn
KINOSTERNON SCORPIOIDES,Kinosternon scorpioides,"Kinosternon scorpioides (Linnaeus, 1766)",2442361.0,Animalia,Chordata,Testudines,,Kinosternidae,Kinosternon,ACCEPTED,99,NE
BASSARICYON SP.,Bassaricyon sp.,"Bassaricyon J.A.Allen, 1876",2433581.0,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Bassaricyon,ACCEPTED,94,NE
CARETTA CARETTA,Caretta caretta,"Caretta caretta (Linnaeus, 1758)",8894817.0,Animalia,Chordata,Testudines,,Cheloniidae,Caretta,ACCEPTED,99,VU
EPICRATES MAURUS,Epicrates maurus,"Epicrates maurus Gray, 1849",2465191.0,Animalia,Chordata,Squamata,,Boidae,Epicrates,ACCEPTED,99,LC
BUTEO BRACHYURUS,Buteo brachyurus,"Buteo brachyurus Vieillot, 1816",2480553.0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,ACCEPTED,99,LC
FALCO SPARVERIUS CAUCAE CHAPMAN,Falco sparverius,"Falco sparverius Linnaeus, 1758",9685907.0,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,ACCEPTED,99,LC
VENILIORNIS AFFINIS,Veniliornis affinis,"Veniliornis affinis (Swainson, 1821)",2478373.0,Animalia,Chordata,Aves,Piciformes,Picidae,Veniliornis,ACCEPTED,99,LC
TRACHEMYS VENUSTA,Trachemys venusta,"Trachemys venusta (Gray, 1855)",2443040.0,Animalia,Chordata,Testudines,,Emydidae,Trachemys,ACCEPTED,99,NE
COLIBRI CORRUSCANS,Colibri corruscans,"Colibri coruscans (Gould, 1846)",5228474.0,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Colibri,ACCEPTED,96,LC
DIDELPHIS SP. (MARSUPIALIS O ALVIVENTRIS),Didelphis sp.,"Didelphis Linnaeus, 1758",7932087.0,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Didelphis,ACCEPTED,92,NE
PIONOPSITA PULCHRA,Pionopsita pulchra,"Pionopsitta pulchra Berlepsch, 1897",2479981.0,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pionopsitta,ACCEPTED,80,
SPILOTES PULLATUS,Spilotes pullatus,"Spilotes pullatus (Linnaeus, 1758)",9195230.0,Animalia,Chordata,Squamata,,Colubridae,Spilotes,ACCEPTED,99,LC
DASYPUS NOVEMCINCTUS,Dasypus novemcinctus,"Dasypus novemcinctus Linnaeus, 1758",2440779.0,Animalia,Chordata,Mammalia,Cingulata,Dasypodidae,Dasypus,ACCEPTED,99,LC
TAYASSU TAJACU LINNAEUS,Tayassu tajacu,"Tayassu tajacu (Linnaeus, 1758)",2440996.0,Animalia,Chordata,Mammalia,Artiodactyla,Tayassuidae,Pecari,SYNONYM,98,NE
MACROBRACHIUM CARCINUS,Macrobrachium carcinus,"Macrobrachium carcinus (Linnaeus, 1758)",2224580.0,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,ACCEPTED,99,LC
TRACHEMYS ELEGANS,Trachemys elegans,"Trachemys Agassiz, 1857",2442941.0,Animalia,Chordata,Testudines,,Emydidae,Trachemys,ACCEPTED,94,NE
CHELUS FIMBRIATUS,Chelus fimbriatus,"Chelus fimbriata (Schneider, 1783)",2441927.0,Animalia,Chordata,Testudines,,Chelidae,Chelus,ACCEPTED,96,NE
PACHYRAMPHUS RUFUS,Pachyramphus rufus,"Pachyramphus rufus (Boddaert, 1783)",5230318.0,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Pachyramphus,ACCEPTED,99,LC
BUTEO ALBIGULA PHILIPPI,Buteo albigula,"Buteo albigula Philippi, 1899",2480535.0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,ACCEPTED,99,LC
NYCTIBIUS GRANDIS,Nyctibius grandis,"Nyctibius grandis (J.F.Gmelin, 1789)",2496801.0,Animalia,Chordata,Aves,Nyctibiiformes,Nyctibiidae,Nyctibius,ACCEPTED,99,LC
MUSTELA FRENATA AFFINIS L.E. GRAY,Mustela frenata,"Mustela frenata Lichtenstein, 1831",5218919.0,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,ACCEPTED,99,LC
MASTIGODRYAS BODDAERTI,Mastigodryas boddaerti,"Mastigodryas boddaerti (Sentzen, 1796)",2456203.0,Animalia,Chordata,Squamata,,Colubridae,Mastigodryas,ACCEPTED,99,LC
ARDEA ALBA,Ardea alba,"Ardea alba Linnaeus, 1758",9752617.0,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,ACCEPTED,97,LC
AOTUS SP,Aotus sp,,,,,,,,,,0,
FALCO RUFIGULARIS,Falco rufigularis,"Falco rufigularis Daudin, 1800",2481033.0,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,ACCEPTED,99,LC
PTEROGLOSUS TORQUARUS,Pteroglosus torquarus,"Pteroglossus torquatus (J.F.Gmelin, 1788)",2478838.0,Animalia,Chordata,Aves,Piciformes,Ramphastidae,Pteroglossus,ACCEPTED,80,
