nombre_cientifico_original,nombre_cientifico_normalizado,nombre_cientifico_gbif,usage_key,reino,filo,clase,orden,familia,genero,estado_taxonomico,confianza_match,categoria_iucn
MOLOTHRUS BONARIENSIS,,,,,,,,,,,0,
PHYLLOSTOMUS DISCOLOR,,,,,,,,,,,0,
BASILISCUS SP.,,,,,,,,,,,0,
PIAYA CAYANA,,,,,,,,,,,0,
XENERPESTES MINLOSI,,,,,,,,,,,0,
ROSTRHAMUS SOCIABILIS,,,,,,,,,,,0,
MOLOSSUS MOLOSSUS,,,,,,,,,,,0,
RHINOCLEMYS NASUTA,,,,,,,,,,,0,
ERYTHROLAMPRUS BIZONUS,,,,,,,,,,,0,
LACHESIS ACROCHARTA,,,,,,,,,,,0,
CHERONIUS GRANDISQUAMIS,,,,,,,,,,,0,
MARMOSOPS SP.,,,,,,,,,,,0,
ESCORPION,,,,,,,,,,,0,
NYCTIBIUS AETHEREUS,,,,,,,,,,,0,
NEOCREX ERYTHROPS,,,,,,,,,,,0,
COLUMBINA MINUTA,,,,,,,,,,,0,
VIREO   SP.,,,,,,,,,,,0,
CHELONOIDES DENTICULATA,,,,,,,,,,,0,
MOLOSSUS SP,,,,,,,,,,,0,
CHERAX QUADRICARINATUS,,,,,,,,,,,0,
MABUYA MABOUYA,,,,,,,,,,,0,
FALCO PEREGRINUS,,,,,,,,,,,0,
PODOCNEMIS LEWYANA,,,,,,,,,,,0,
SAPAJUS APELLA,,,,,,,,,,,0,
PROCYON CANCRIVORUS,,,,,,,,,,,0,
DIPSAS SP.,,,,,,,,,,,0,
DENDROPHIDION NECHALE,,,,,,,,,,,0,
DENDROBATES HISTRIONICUS,,,,,,,,,,,0,
ANISOGNATHUS FLAVINUCHA,,,,,,,,,,,0,
FRINGILLIDAE,,,,,,,,,,,0,
KINOSTERNUM LEUCOSTONUM,,,,,,,,,,,0,
ICTERUS NIGROGULARIS,,,,,,,,,,,0,
FREDIUS,,,,,,,,,,,0,
MELANERPES SP,,,,,,,,,,,0,
GARZA BLANCA,,,,,,,,,,,0,
CEBUELLA PYGMAEA,,,,,,,,,,,0,
TANGARA CYANICOLLIS,,,,,,,,,,,0,
EIRA BARBARA,,,,,,,,,,,0,
TANGARA GYROLA,,,,,,,,,,,0,
MAZAMA AMERICANA,,,,,,,,,,,0,
LEPIDOTHRIX CORONATA,,,,,,,,,,,0,
CYANOCORAX AFFINIS,,,,,,,,,,,0,
RAMPHOCELUS FLAMMIGERUS,,,,,,,,,,,0,
ODOCOILEUS VIRGINIANUS,,,,,,,,,,,0,
COLUMBA LIVIA,,,,,,,,,,,0,
KINOSTERNON SCORPIOIDES,,,,,,,,,,,0,
BASSARICYON SP.,,,,,,,,,,,0,
CARETTA CARETTA,,,,,,,,,,,0,
EPICRATES MAURUS,,,,,,,,,,,0,
BUTEO BRACHYURUS,,,,,,,,,,,0,
FALCO SPARVERIUS CAUCAE CHAPMAN,,,,,,,,,,,0,
VENILIORNIS AFFINIS,,,,,,,,,,,0,
TRACHEMYS VENUSTA,,,,,,,,,,,0,
COLIBRI CORRUSCANS,,,,,,,,,,,0,
DIDELPHIS SP. (MARSUPIALIS O ALVIVENTRIS),,,,,,,,,,,0,
PIONOPSITA PULCHRA,,,,,,,,,,,0,
SPILOTES PULLATUS,,,,,,,,,,,0,
DASYPUS NOVEMCINCTUS,,,,,,,,,,,0,
TAYASSU TAJACU LINNAEUS,,,,,,,,,,,0,
MACROBRACHIUM CARCINUS,,,,,,,,,,,0,
TRACHEMYS ELEGANS,,,,,,,,,,,0,
CHELUS FIMBRIATUS,,,,,,,,,,,0,
